COD;DISCIPLINA;COD;ASSUNTO
11;Legislação de Trânsito Específica- Instrutor;206;Veículo: equipamentos e documentos obrigatórios
11;Legislação de Trânsito Específica- Instrutor;207;Infrações, penalidades e medidas administrativas
12;Noções de Engenharia de Trânsito;208;Sistema viário: conceito e tipos de via
;;;
12;Noções de Engenharia de Trânsito;209;Planejamento e organização
12;Noções de Engenharia de Trânsito;210;Cidadão, veículo e via: papel social
13;Mecânica Básica e Manutenção dos Veículos;211;Equipamentos obrigatórios, acessórios e de segurança
13;Mecânica Básica e Manutenção dos Veículos;212;Funcionamento e operação do veículo e seus diversos sistemas
13;Mecânica Básica e Manutenção dos Veículos;213;Uso e Manutenção preventiva
14;Prática de Direção;214;Atividades práticas 
14;Prática de Direção;215;Didática da prática de direção veicular
14;Prática de Direção;216;Elaboração de roteiros específicos para aulas práticas de veículos de duas rodas e quatro rodas ou mais, conforme conteúdos estabelecidos na Resolução 168/04 do CONTRAN, incluindo aulas em rodovias
14;Prática de Direção;217;Elaboração de instrumentos para acompanhamento do desempenho do candidato nas aulas práticas
14;Prática de Direção;218;Elaboração de Instrumentos para registro de conteúdo e freqüência às aulas práticas 
14;Prática de Direção;219;Prática de direção em veículos de duas rodas e quatro rodas
15;Noções de Medicina e de Psicologia no Trânsito;220;Álcool, drogas ilícitas, medicamentos e os acidentes de trânsito
15;Noções de Medicina e de Psicologia no Trânsito;221;Sono e fadiga
15;Noções de Medicina e de Psicologia no Trânsito;222;Trânsito e comportamento
15;Noções de Medicina e de Psicologia no Trânsito;223;Papel do instrutor de trânsito na formação do condutor
15;Noções de Medicina e de Psicologia no Trânsito;224;Relacionamento interpessoal instrutor/aluno
15;Noções de Medicina e de Psicologia no Trânsito;225;Noções de Psicologia da Aprendizagem
16;Orientação Educacional;226;Filosofia e política do DETRAN
16;Orientação Educacional;227;Ética e profissionalismo
16;Orientação Educacional;228;Relações pedagógicas Instrutor/ Diretor de Ensino, Instrutor/ Aluno, Instrutor/ Instrutor
16;Orientação Educacional;229;"Fatores que interferem na aprendizagem; motivação e comunicação."
16;Orientação Educacional;230;Situações de conflito: alunos e suas concepções
16;Orientação Educacional;231;Postura – o instrutor como modelo e seu papel como formador de condutores
17;Técnicas de Ensino e Didática;232;Organização do processo ensino-aprendizagem: teorias de ensino e aprendizagem
17;Técnicas de Ensino e Didática;233;Didática – Planejamento e processo ensino-aprendizagem
17;Técnicas de Ensino e Didática;234;Plano do Curso de Habilitação de Condutores
17;Técnicas de Ensino e Didática;235;Elaboração de Planos de Aula Teóricas e Práticas
17;Técnicas de Ensino e Didática;236;Elaboração de instrumentos de acompanhamento do desempenho do candidato nas aulas teóricas e práticas
17;Técnicas de Ensino e Didática;237;Elaboração de instrumentos para registro de freqüência e conteúdos nas aulas teóricas e práticas.
17;Técnicas de Ensino e Didática;238;Metodologia
17;Técnicas de Ensino e Didática;239;Dinâmica – formas de operacionalizar a didática
17;Técnicas de Ensino e Didática;240;Recursos instrucionais
17;Técnicas de Ensino e Didática;241;Instrumentos de registro de freqüência, conteúdos e avaliação
17;Técnicas de Ensino e Didática;242;Prática de ensino através de tecnologias
17;Técnicas de Ensino e Didática;243;Avaliação didática de cada matéria do curso, propondo outras formas de abordagem
;;;
